Date,Region,Category,Product,Quantity,Unit_Price,Sales,Profit
2025-01-01,East,Electronics,Wireless Mouse,,41.25,165.0,
2025-01-02,East,Furniture,Bookcase,1.0,14.17,14.17,6.16
2025-01-03,East,Furniture,Desk,9.0,68.73,618.57,225.92
2025-01-04,North,Electronics,Smartphone,7.0,57.64,403.48,182.92
2025-01-05,North,Electronics,Laptop,7.0,1108.5,7759.5,2474.37
2025-01-06,East,Furniture,Bookcase,9.0,27.48,247.32,55.23
2025-01-07,East,Furniture,Table Lamp,10.0,133.96,1339.6,524.47
2025-01-08,West,Furniture,Office Chair,1.0,102.58,102.58,27.5
2025-01-09,East,Electronics,Laptop,7.0,981.41,6869.87,2683.03
2025-01-10,North,Office Supplies,Gel Pens,5.0,108.25,541.25,159.63
2025-01-11,East,Furniture,Desk,9.0,112.08,1008.72,454.91
2025-01-12,South,Office Supplies,Gel Pens,6.0,128.0,768.0,205.21
2025-01-13,West,Electronics,Wireless Mouse,7.0,47.48,332.36,145.14
2025-01-14,North,Electronics,Keyboard,7.0,133.86,937.02,287.8
2025-01-15,West,Office Supplies,Gel Pens,4.0,114.3,457.2,154.67
2025-01-16,South,Furniture,Bookcase,,40.7,244.2,49.02
2025-01-17,South,Electronics,Laptop,2.0,695.99,1391.98,411.83
2025-01-18,East,Office Supplies,Notebook,10.0,149.46,1494.6,510.06
2025-01-19,East,Furniture,Office Chair,9.0,115.12,1036.08,279.14
2025-01-20,North,Electronics,Wireless Mouse,7.0,32.14,224.98,112.27
2025-01-21,North,Furniture,Desk,9.0,137.77,1239.93,
2025-01-22,North,Furniture,Desk,3.0,62.35,187.05,84.46
2025-01-23,East,Furniture,Table Lamp,8.0,12.73,101.84,22.53
2025-01-24,North,Electronics,Laptop,4.0,1168.17,4672.68,2216.27
2025-01-25,South,Electronics,Smartphone,3.0,102.37,307.11,66.32
2025-01-26,West,Office Supplies,Notebook,4.0,140.05,560.2,153.17
2025-01-27,West,Furniture,Table Lamp,7.0,149.32,1045.24,318.84
2025-01-28,South,Furniture,Bookcase,2.0,44.71,89.42,42.99
2025-01-29,East,Furniture,Desk,10.0,40.83,408.3,195.45
2025-01-30,East,Electronics,Laptop,1.0,642.51,642.51,275.38
2025-01-31,South,Electronics,Smartphone,,90.67,906.7,387.25
2025-02-01,South,Office Supplies,Gel Pens,2.0,23.57,47.14,17.47
2025-02-02,South,Office Supplies,Notebook,1.0,104.27,104.27,21.35
2025-02-03,East,Electronics,Keyboard,6.0,122.08,732.48,342.23
2025-02-04,West,Electronics,Keyboard,3.0,69.06,207.18,86.28
2025-02-05,West,Electronics,Keyboard,9.0,23.71,213.39,64.95
2025-02-06,East,Electronics,Smartphone,3.0,66.9,200.7,71.37
2025-02-07,South,Electronics,Smartphone,7.0,10.3,72.1,27.61
2025-02-08,South,Office Supplies,Notebook,9.0,102.66,923.94,327.07
2025-02-09,West,Office Supplies,Gel Pens,1.0,91.09,91.09,30.73
2025-02-10,North,Electronics,Laptop,10.0,1151.63,11516.3,
2025-02-11,East,Furniture,Office Chair,3.0,19.59,58.77,28.19
2025-02-12,West,Office Supplies,Paper Pack,10.0,44.47,444.7,143.04
2025-02-13,East,Office Supplies,Binder,5.0,38.6,193.0,55.03
2025-02-14,West,Office Supplies,Notebook,3.0,104.04,312.12,127.97
2025-02-15,North,Electronics,Laptop,,937.8,7502.4,3526.17
2025-02-16,West,Furniture,Table Lamp,3.0,140.66,421.98,99.48
2025-02-17,West,Office Supplies,Binder,3.0,71.35,214.05,72.14
2025-02-18,North,Furniture,Office Chair,9.0,51.91,467.19,140.62
2025-02-19,West,Office Supplies,Paper Pack,2.0,113.94,227.88,103.31
2025-02-20,North,Furniture,Desk,6.0,38.5,231.0,71.55
2025-02-21,North,Furniture,Bookcase,5.0,136.75,683.75,168.32
2025-02-22,East,Furniture,Bookcase,5.0,16.17,80.85,32.33
2025-02-23,West,Furniture,Table Lamp,3.0,113.77,341.31,114.17
2025-02-24,South,Furniture,Office Chair,2.0,20.53,41.06,9.65
2025-02-25,West,Furniture,Office Chair,6.0,91.55,549.3,250.25
2025-02-26,West,Electronics,Wireless Mouse,6.0,135.86,815.16,212.89
2025-02-27,East,Office Supplies,Gel Pens,4.0,103.37,413.48,162.87
2025-02-28,South,Furniture,Desk,4.0,131.04,524.16,108.57
2025-03-01,West,Office Supplies,Paper Pack,3.0,113.12,339.36,135.86
2025-03-02,South,Furniture,Desk,,32.29,161.45,
2025-03-03,South,Electronics,Keyboard,4.0,37.94,151.76,34.06
2025-03-04,North,Office Supplies,Gel Pens,4.0,13.31,53.24,23.54
2025-03-05,North,Office Supplies,Paper Pack,5.0,59.16,295.8,102.7
2025-03-06,North,Electronics,Laptop,5.0,1177.52,5887.6,2474.91
2025-03-07,East,Furniture,Bookcase,6.0,112.0,672.0,272.76
2025-03-08,East,Office Supplies,Gel Pens,5.0,16.21,81.05,29.92
2025-03-09,West,Office Supplies,Notebook,2.0,142.84,285.68,63.93
