Transaction_ID,Amount,Age,Failed_Login_Attempts
TXN_10000,70.39,64,0
TXN_10001,451.52,59,2
TXN_10002,197.51,22,0
TXN_10003,136.94,34,0
TXN_10004,25.44,62,0
TXN_10005,25.44,23,1
TXN_10006,8.98,61,1
TXN_10007,301.68,42,2
TXN_10008,137.86,58,0
TXN_10009,184.69,66,0
TXN_10010,3.12,52,0
TXN_10011,525.53,22,0
TXN_10012,267.96,61,1
TXN_10013,35.8,32,0
TXN_10014,30.1,45,2
TXN_10015,9362.9,99,5
TXN_10016,54.41,46,0
TXN_10017,111.59,37,1
TXN_10018,84.83,20,0
TXN_10019,51.63,21,0
TXN_10020,141.96,41,0
TXN_10021,22.54,33,0
TXN_10022,51.83,54,0
TXN_10023,68.44,29,0
TXN_10024,91.34,23,0
TXN_10025,230.69,42,0
TXN_10026,33.41,33,0
TXN_10027,108.3,55,0
TXN_10028,134.63,47,0
TXN_10029,7.13,47,0
TXN_10030,140.3,18,1
TXN_10031,28.04,47,1
TXN_10032,10.09,61,0
TXN_10033,446.05,22,0
TXN_10034,505.59,40,2
TXN_10035,247.85,37,0
TXN_10036,54.49,45,0
TXN_10037,15.42,47,0
TXN_10038,172.91,30,3
TXN_10039,87.01,48,0
TXN_10040,19.52,42,0
TXN_10041,102.53,54,0
TXN_10042,9889.72,99,5
TXN_10043,360.06,60,0
TXN_10044,44.92,18,0
TXN_10045,162.94,61,0
TXN_10046,56.03,21,1
TXN_10047,110.12,65,0
TXN_10048,118.68,36,0
TXN_10049,30.66,32,0
TXN_10050,523.92,40,0
TXN_10051,223.84,30,0
TXN_10052,420.76,61,0
TXN_10053,337.82,67,0
TXN_10054,136.66,26,0
TXN_10055,382.42,58,0
TXN_10056,13.9,37,0
TXN_10057,32.72,20,0
TXN_10058,6.94,64,0
TXN_10059,59.03,36,0
TXN_10060,73.82,44,0
TXN_10061,47.48,26,0
TXN_10062,264.68,41,0
TXN_10063,66.18,35,0
TXN_10064,49.47,34,1
TXN_10065,117.36,48,2
TXN_10066,22.78,36,0
TXN_10067,243.07,39,0
TXN_10068,11.62,47,2
TXN_10069,650.12,27,0
TXN_10070,221.92,32,1
TXN_10071,33.23,64,0
TXN_10072,0.83,43,2
TXN_10073,253.48,69,0
TXN_10074,184.06,23,0
TXN_10075,195.85,18,0
TXN_10076,221.28,25,0
TXN_10077,11.54,61,0
TXN_10078,9112.09,99,5
TXN_10079,18.47,41,0
TXN_10080,298.28,32,0
TXN_10081,146.45,57,1
TXN_10082,60.27,53,0
TXN_10083,9.85,57,0
TXN_10084,55.87,22,0
TXN_10085,59.0,47,1
TXN_10086,196.18,37,0
TXN_10087,152.23,25,0
TXN_10088,327.34,20,0
TXN_10089,95.86,49,0
TXN_10090,19.11,33,1
TXN_10091,187.37,26,0
TXN_10092,214.56,41,0
TXN_10093,123.58,65,0
TXN_10094,221.08,52,0
TXN_10095,102.12,65,0
TXN_10096,110.95,44,0
TXN_10097,83.67,49,0
TXN_10098,3.86,35,0
TXN_10099,17.13,41,0
TXN_10100,4.79,46,2
TXN_10101,151.76,41,0
TXN_10102,56.61,61,0
TXN_10103,106.57,59,0
TXN_10104,357.19,43,0
TXN_10105,9120.96,99,5
TXN_10106,79.24,23,0
TXN_10107,211.31,59,0
TXN_10108,38.97,19,0
TXN_10109,12.02,39,0
TXN_10110,51.32,26,0
TXN_10111,26.37,31,0
TXN_10112,398.24,66,0
TXN_10113,247.63,55,0
TXN_10114,150.52,32,0
TXN_10115,307.73,27,0
TXN_10116,244.2,56,0
TXN_10117,30.97,27,2
TXN_10118,334.62,52,0
TXN_10119,116.26,29,0
